tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L3,rf,0,1,,,,,12.0,balanced,4.0,sqrt,9.0,,,,,,,
L3,rf,0,2,,,,,18.0,,,sqrt,7.0,,,,,,,
L3,rf,0,3,,,,,6.0,,2.0,0.33,5.0,,,,,,,
L3,rf,0,4,,,,,12.0,,3.0,0.5,9.0,,,,,,,
L3,rf,1,0,,,,,12.0,,3.0,0.33,10.0,,,,,,,
L3,rf,1,1,,,,,18.0,balanced,3.0,0.33,11.0,,,,,,,
L3,rf,1,2,,,,,12.0,,,sqrt,12.0,,,,,,,
L3,rf,1,3,,,,,6.0,balanced,3.0,sqrt,9.0,,,,,,,
L3,rf,1,4,,,,,18.0,,,0.33,10.0,,,,,,,
L3,rf,2,0,,,,,18.0,,,0.5,9.0,,,,,,,
L3,rf,2,1,,,,,12.0,balanced,4.0,0.33,2.0,,,,,,,
L3,rf,2,2,,,,,12.0,balanced,,0.5,12.0,,,,,,,
L3,rf,2,3,,,,,18.0,balanced,,0.33,7.0,,,,,,,
L3,rf,2,4,,,,,18.0,,3.0,0.5,12.0,,,,,,,
L4,rf,0,0,,,,,18.0,,4.0,0.33,8.0,,,,,,,
L4,rf,0,1,,,,,18.0,balanced,,0.5,11.0,,,,,,,
L4,rf,0,2,,,,,6.0,,6.0,0.33,4.0,,,,,,,
L4,rf,0,3,,,,,18.0,,4.0,sqrt,3.0,,,,,,,
L4,rf,0,4,,,,,12.0,,3.0,0.5,9.0,,,,,,,
L4,rf,1,0,,,,,18.0,balanced,,sqrt,4.0,,,,,,,
L4,rf,1,1,,,,,6.0,,6.0,0.33,10.0,,,,,,,
L4,rf,1,2,,,,,6.0,balanced,3.0,0.5,10.0,,,,,,,
L4,rf,1,3,,,,,12.0,balanced,3.0,0.33,6.0,,,,,,,
L4,rf,1,4,,,,,6.0,,4.0,sqrt,3.0,,,,,,,
L4,rf,2,0,,,,,6.0,,3.0,0.33,6.0,,,,,,,
L4,rf,2,1,,,,,18.0,,,0.5,2.0,,,,,,,
L4,rf,2,2,,,,,12.0,balanced,,0.5,12.0,,,,,,,
L4,rf,2,3,,,,,6.0,balanced,3.0,sqrt,4.0,,,,,,,
L4,rf,2,4,,,,,12.0,balanced,4.0,0.5,2.0,,,,,,,
L5,rf,0,0,,,,,18.0,,4.0,0.33,8.0,,,,,,,
